EQ_NAME,EQ_LAT,EQ_LON,EQ_DEP,EQ_MAG,ORIG_TIME
199401101553,             -13.339,             -69.446,             596.000,               6.900,19940110155350.76
199403142051,              15.994,             -92.428,             164.200,               6.900,19940314205137.0
199403312240,             -22.057,            -179.533,             579.800,               6.500,19940331224051.87
199404290711,             -28.299,             -63.252,             561.500,               6.900,19940429071129.28
199405100636,             -28.501,             -63.096,             600.500,               6.900,19940510063628.61
199408082108,              24.721,              95.200,             121.700,               6.100,19940808210831.09
199408140131,              44.694,             150.011,              19.000,               6.300,19940814013117.3
199409281639,              -5.786,             110.352,             637.500,               6.600,19940928163953.246
199410160509,              45.743,             149.212,             102.100,               6.700,19941016050959.31
199411152018,              -5.589,             110.186,             560.600,               6.500,19941115201811.46
199411201835,               4.330,              97.591,             153.400,               6.100,19941120183527.0
199412101617,              18.136,            -101.384,              48.100,               6.500,19941210161739.24
199412120741,             -17.477,             -69.598,             148.200,               6.300,19941212074155.81
199412271732,             -31.965,             179.860,             212.400,               6.400,19941227173251.86
199412301512,              18.552,             145.363,             219.200,               6.300,19941230151286.0
199501062237,              40.246,             142.175,              26.900,               6.900,19950106223737.29
199501121026,              44.061,             147.033,              34.900,               6.000,19950112102649.03
199501210730,               2.563,             126.882,              42.200,               6.200,19950121073023.246
199502081840,               4.104,             -76.622,              73.500,               6.400,19950208184025.93
199504200845,               6.279,             126.777,              94.100,               6.600,19950420084511.73
199505020606,              -3.792,             -76.917,              97.000,               6.700,19950502060607.96
199506291224,             -19.544,             169.287,             139.400,               6.600,19950629122402.91
199507262342,               2.534,             127.681,              65.400,               6.400,19950726234204.8
199508192143,               5.139,             -75.577,             119.600,               6.500,19950819214330.71
199508230706,              18.856,             145.218,             594.900,               7.100,19950823070604.12
199510011706,              29.311,             139.040,             430.800,               6.100,19951001170616.0
199511130217,               3.588,             126.647,              33.000,               6.200,19951113021753.02
199512021713,              44.505,             149.237,              18.100,               6.400,19951202171322.99
199512192328,              -3.703,             140.233,              63.400,               6.500,19951219232813.14
199512250443,              -6.903,             129.151,             141.900,               7.000,19951225044323.16
199602221340,             -33.672,             -71.671,              43.300,               6.000,19960222134056.52
199602221459,              45.263,             148.542,             124.200,               6.300,19960222145906.43
199602280944,               1.756,             126.048,             115.500,               6.400,19960228094409.34
199604160030,             -24.061,            -177.036,             110.900,               7.200,19960416003054.06
199606260322,              27.727,             139.747,             468.500,               6.300,19960626032236.0
199612221453,              43.207,             138.920,             226.500,               6.500,19961222145329.08
199701230215,             -21.999,             -65.719,             276.200,               7.000,19970123021519.79
199704011842,             -18.351,             -69.347,             115.600,               6.100,19970401184207.66
199705131413,              36.411,              70.945,             196.000,               6.500,19970513141346.246
199709021213,               3.849,             -75.749,             198.700,               6.800,19970902121323.08
199710150103,             -30.933,             -71.220,              58.000,               7.100,19971015010333.03
199711092257,              13.849,             -88.808,             176.400,               6.500,19971109225729.0
199711150705,              43.813,             145.019,             161.000,               6.100,19971115070516.32
199711282253,             -13.740,             -68.788,             586.000,               6.600,19971128225342.61
199712110756,               3.929,             -75.787,             177.500,               6.400,19971211075629.66
199712181502,              13.840,             -88.739,             182.100,               6.100,19971218150272.0
199801010611,              23.913,             141.907,              95.600,               6.300,19980101061122.31
199807091445,             -30.487,            -178.994,             129.500,               6.900,19980709144534.754
199807091939,              60.530,            -153.219,             144.800,               6.200,19980709193994.0
199807290714,             -32.312,             -71.286,              51.100,               6.400,19980729071424.99
199808231357,              11.663,             -88.038,              54.600,               6.700,19980823135715.61
199809020837,               5.410,             126.764,              50.000,               6.800,19980902083731.34
199810031116,              28.505,             127.615,             226.600,               6.200,19981003111609.0
199810080451,             -16.119,             -71.404,             136.200,               6.200,19981008045140.41
199901280810,              52.886,            -169.123,              67.200,               6.600,19990128081004.21
199904030617,             -16.660,             -72.662,              87.200,               6.800,19990403061716.1
